Or19b	1	X	+	20094398	20095767	20095134,20095648,	20095288,20095702,
CG9577	1	X	+	20166673	20168080	20166816,20167119,20167815,	20166957,20167191,20167882,
CG9578	0	X	+	20170222	20171526	20170363,20170758,20171065,	20170424,20170846,20171130,
Rab35	1	X	-	20155766	20159872	20157836,20158269,	20157970,20158896,
Or19a	1	X	-	20141819	20143188	20141884,20142298,	20141938,20142452,
CG32857	1	X	-	21615449	21617617	21616126,21617434,	21617178,21617494,
CG33502	1	X	-	21609357	21611526	21610034,21611342,	21611086,21611402,
cin	0	X	+	255674	258469	255824,256641,256940,257427,257642,258080,	255881,256762,256999,257480,257982,258142,
Or1a	1	X	+	315123	316566	315628,316378,	315775,316489,
CG3156	1	X	+	487878	490725	488362,488628,489076,489424,490228,	488422,488874,489143,489485,490302,
arg	0	X	+	509435	528028	509716,510113,510361,526601,	509910,510175,526502,527559,
CG18273	0	X	-	482777	487581	483045,483828,484246,484965,487403,	483268,483884,484310,485028,487465,
CG13369	1	X	+	623468	624765	623734,624344,	623796,624407,
Mybbp1A	0	X	+	629773	633633	630209,630644,631983,	630273,630703,632044,
Rbf	1	X	-	797090	801479	797692,798142,799013,799647,800065,800316,800517,	797762,798278,799316,799711,800128,800378,800597,
CG13360	1	X	-	787855	790089	788527,788903,	788592,789472,
RpL22	1	X	-	762560	765130	762991,764922,	764302,765084,
CG13361	0	X	-	752011	753653	752235,	752314,
CG13362	0	X	-	749241	751301	750714,750834,	750773,751152,
MED22	1	X	+	928139	928860	928327,928485,	928384,928550,
CG3703	0	X	-	942474	945773	942796,944096,	943302,944396,
CG3704	1	X	-	939170	940805	939676,940086,	939733,940152,
CG14625	0	X	+	1199546	1203157	1199671,1200847,	1200625,1200928,
fs(1)N	0	X	+	1322513	1329438	1322714,1324809,1324997,1325185,1327014,1327277,	1322773,1324868,1325055,1325244,1327069,1327338,
Naa30A	1	X	+	1342106	1344770	1343214,1343535,	1343290,1343779,
CG14785	1	X	-	1455215	1457054	1455695,1455949,	1455750,1456023,
CG11403	1	X	-	1236873	1239884	1237707,1237963,	1237766,1238028,
CG14780	1	X	+	1472522	1473727	1472816,1473170,	1472876,1473236,
dor	1	X	+	1665052	1668451	1665411,1666132,1667612,1667825,	1665474,1666187,1667674,1667888,
